mnemonic,Number of jobs,Median,Mean
E10000022,78000,34079.0,38538
E11000004,286000,31333.0,35369
E10000004,-,,-
E10000006,-,,-
E11000001,668000,32691.0,37597
E11000002,352000,33088.0,37535
E10000023,-,,-
E11000003,319000,32202.0,37036
E11000006,541000,32175.0,37274
E10000021,-,,-
E10000026,79000,34198.0,38144
E11000005,590000,32019.0,39548
E10000001,-,,-
E13000001,788000,43949.0,61283
E13000002,1160000,40588.0,52390
E10000002,143000,39497.0,56483
E10000005,-,,-
E10000009,-,,-
E10000027,-,,-
E10000033,144000,34952.0,41190
